time	V(1)	V(2)
1.384659801897846e-003	2.500000e+000	5.310113e-002
1.393588373326417e-003	2.500000e+000	4.856947e-002
1.402516944754989e-003	2.500000e+000	4.437911e-002
1.411445516183560e-003	2.500000e+000	4.053005e-002
1.420374087612132e-003	2.500000e+000	3.702229e-002
1.429302659040703e-003	2.500000e+000	3.385584e-002
1.438231230469274e-003	2.500000e+000	3.103068e-002
1.447055340545092e-003	2.500000e+000	2.845102e-002
1.455879450620910e-003	2.500000e+000	2.605024e-002
1.464703560696728e-003	2.500000e+000	2.382834e-002
1.473527670772546e-003	2.500000e+000	2.178531e-002
1.482351780848364e-003	2.500000e+000	1.992117e-002
1.491175890924182e-003	2.500000e+000	1.823590e-002
1.500000001000000e-003	2.500000e+000	1.672951e-002
1.500000002000000e-003	0.000000e+000	-2.483270e+000
1.509033034781325e-003	0.000000e+000	-2.272364e+000
1.518066067562650e-003	0.000000e+000	-2.076347e+000
1.527099100343975e-003	0.000000e+000	-1.895221e+000
1.536132133125300e-003	0.000000e+000	-1.728984e+000
1.545165165906624e-003	0.000000e+000	-1.577638e+000
1.554198198687949e-003	0.000000e+000	-1.441181e+000
1.563231231469274e-003	0.000000e+000	-1.319615e+000
1.572159802897846e-003	0.000000e+000	-1.208696e+000
1.581088374326417e-003	0.000000e+000	-1.105545e+000
1.590016945754988e-003	0.000000e+000	-1.010164e+000
1.598945517183560e-003	0.000000e+000	-9.225510e-001
1.607874088612131e-003	0.000000e+000	-8.427069e-001
1.616802660040703e-003	0.000000e+000	-7.706316e-001
1.625731231469274e-003	0.000000e+000	-7.063250e-001
1.634659802897846e-003	0.000000e+000	-6.469554e-001
1.643588374326417e-003	0.000000e+000	-5.917441e-001
1.652516945754988e-003	0.000000e+000	-5.406910e-001
1.661445517183560e-003	0.000000e+000	-4.937962e-001
1.670374088612131e-003	0.000000e+000	-4.510595e-001
1.679302660040703e-003	0.000000e+000	-4.124812e-001
1.688231231469274e-003	0.000000e+000	-3.780610e-001
1.697159802897846e-003	0.000000e+000	-3.462834e-001
1.706088374326417e-003	0.000000e+000	-3.167315e-001
1.715016945754988e-003	0.000000e+000	-2.894053e-001
1.723945517183560e-003	0.000000e+000	-2.643048e-001
1.732874088612131e-003	0.000000e+000	-2.414300e-001
1.741802660040703e-003	0.000000e+000	-2.207809e-001
1.750731231469274e-003	0.000000e+000	-2.023575e-001
1.753521410040703e-003	0.000000e+000	-1.967993e-001
1.756311588612132e-003	0.000000e+000	-1.913841e-001
1.759101767183560e-003	0.000000e+000	-1.861120e-001
1.761891945754989e-003	0.000000e+000	-1.809829e-001
1.764682124326417e-003	0.000000e+000	-1.759968e-001
1.767472302897846e-003	0.000000e+000	-1.711537e-001
1.770262481469274e-003	0.000000e+000	-1.664537e-001
1.772215606469274e-003	0.000000e+000	-1.632341e-001
1.781144177897846e-003	0.000000e+000	-1.495136e-001
1.790072749326417e-003	0.000000e+000	-1.367540e-001
1.799001320754989e-003	0.000000e+000	-1.249555e-001
1.807929892183560e-003	0.000000e+000	-1.141179e-001
1.816858463612132e-003	0.000000e+000	-1.042414e-001
1.825787035040703e-003	0.000000e+000	-9.532577e-002
1.834715606469274e-003	0.000000e+000	-8.737116e-002
1.843644177897846e-003	0.000000e+000	-8.002724e-002
1.852572749326417e-003	0.000000e+000	-7.319770e-002
1.861501320754989e-003	0.000000e+000	-6.688252e-002
1.870429892183560e-003	0.000000e+000	-6.108171e-002
1.879358463612132e-003	0.000000e+000	-5.579527e-002
1.888287035040703e-003	0.000000e+000	-5.102319e-002
1.897215606469274e-003	0.000000e+000	-4.676548e-002
1.906423195754989e-003	0.000000e+000	-4.272108e-002
1.915630785040703e-003	0.000000e+000	-3.896679e-002
1.924838374326417e-003	0.000000e+000	-3.550262e-002
1.934045963612131e-003	0.000000e+000	-3.232856e-002
1.943253552897845e-003	0.000000e+000	-2.944462e-002
1.952461142183559e-003	0.000000e+000	-2.685080e-002
1.961668731469273e-003	0.000000e+000	-2.454710e-002
1.966691052897844e-003	0.000000e+000	-2.335146e-002
1.971713374326415e-003	0.000000e+000	-2.220785e-002
1.976735695754986e-003	0.000000e+000	-2.111626e-002
1.981758017183557e-003	0.000000e+000	-2.007671e-002
1.986780338612128e-003	0.000000e+000	-1.908919e-002
1.991802660040699e-003	0.000000e+000	-1.815370e-002
1.996824981469270e-003	0.000000e+000	-1.727024e-002
1.998046875000000e-003	0.000000e+000	-1.706048e-002
2.000000000000000e-003	0.000000e+000	-1.672950e-002
